Year,Month,AVERAGE TEMPERATURE (Deg C),BAROMETRIC PRESSURE (hPa),CLOUD COVER (Oktas),DEWPOINT TEMPERATURE (Deg C),EVAPOTRANSPIRATION (mm),MAXIMUM TEMPERATURE (Deg C),MINIMUM TEMPERATURE (Deg C),RAINFALL (mm),RELATIVE HUMIDITY (%),SOLAR RADIATION (MJ/m2),SUNSHINE HOURS,WIND DIRECTION (Degrees),WIND SPEED (kt),Rain_Anomaly,Date
2013.0,Mar,29.9,959.4,4.0,12.5,8.7,40.8,20.6,0.0,13.0,26.2,7.9,80.0,5.0,-0.07200000000000001,2013-03-01
2013.0,April,31.3,959.7,4.0,16.700000000000003,7.7,39.8,23.9,0.0,27.0,25.2,8.3,150.0,5.0,-20.772000000000002,2013-04-01
2013.0,May,32.5,960.2,5.0,21.3,6.6,39.8,26.6,10.0,44.0,24.6,8.2,190.0,5.0,-28.024,2013-05-01
2013.0,June,30.2,961.5,4.0,21.799999999999997,5.3,35.8,24.4,129.5,58.0,23.0,7.2,220.0,5.0,22.89200000000001,2013-06-01
2013.0,July,27.6,962.9,6.0,22.0,4.1,32.5,22.9,149.5,72.0,21.3,6.0,230.0,5.0,-23.604000000000013,2013-07-01
2013.0,Aug,25.8,962.7,7.0,21.6,3.7,29.5,21.9,281.5,81.0,17.4,4.4,230.0,4.0,27.724000000000018,2013-08-01
2013.0,Sep,27.7,962.8,5.0,22.5,4.4,32.8,22.0,100.9,74.0,22.2,6.2,210.0,4.0,-23.492000000000004,2013-09-01
2013.0,Oct,28.1,962.3,4.0,17.1,5.2,35.6,19.8,19.6,45.0,22.2,7.6,130.0,4.0,-15.628,2013-10-01
2013.0,Nov,26.6,961.4,4.0,10.8,6.5,36.3,15.5,0.0,21.0,22.8,8.0,60.0,5.0,-0.29600000000000004,2013-11-01
2013.0,Dec,23.9,963.7,3.0,8.7,6.0,33.0,14.5,0.0,24.0,21.2,7.1,60.0,5.0,-0.16,2013-12-01
2014.0,Jan,22.6,963.7,3.0,6.400000000000002,6.2,32.2,13.7,0.0,19.0,22.0,7.7,50.0,5.0,0.0,2014-01-01
2014.0,Feb,25.0,962.5,2.0,8.0,7.3,33.7,17.2,0.0,15.0,23.9,7.3,50.0,6.0,0.0,2014-02-01
2014.0,Mar,29.2,960.3,3.0,12.399999999999999,8.1,38.2,21.9,0.0,16.0,24.3,7.4,100.0,5.0,-0.07200000000000001,2014-03-01
2014.0,April,32.9,959.3,4.0,18.5,7.4,40.2,25.2,4.2,28.0,24.8,8.0,160.0,5.0,-16.572000000000003,2014-04-01
2014.0,May,31.8,960.1,4.0,21.200000000000003,6.9,38.4,25.4,38.1,47.0,24.1,8.0,190.0,5.0,0.07600000000000051,2014-05-01
2014.0,June,31.0,961.2,4.0,22.0,6.0,37.1,25.3,101.8,55.0,23.9,7.2,220.0,6.0,-4.807999999999993,2014-06-01
2014.0,July,28.3,963.4,5.0,22.1,4.8,32.2,23.4,209.4,69.0,21.3,5.7,230.0,5.0,36.29599999999999,2014-07-01
2014.0,Aug,26.2,963.1,7.0,22.0,3.6,30.8,22.4,247.4,79.0,17.9,4.6,230.0,5.0,-6.375999999999976,2014-08-01
